english_word	offset	definition	c_lu_id	spelling	provenance
non-conducting	eng-30-00558232-a	not able to conduct heat or electricity or sound	d_a-188052	niet-geleidend	bing_std-dict
uninspiring	eng-30-01323334-a	depressing to the spirit	r_a-13481	ongeïnspireerd	google_std-dict
detachable	eng-30-00162083-a	designed to be unfastened or disconnected without damage	r_a-8888	afneembaar	bing_opus_alt-dict
chasidic	eng-30-02738464-a	of or relating to the Jewish Hasidim or its members or their beliefs and practices	r_a-9847	chassidisch	google_alt-dict
lumbar	eng-30-03014770-a	of or relating to or near the part of the back between the ribs and the hipbones	d_a-161995	lumbaal	google_std-dict
polygonal	eng-30-03100611-a	having many sides or relating to a surface marked by polygons	d_a-306509	veelhoekig	automatic-rule-1_google_bing_opus_std-dict
unchangeable	eng-30-00346991-a	not changeable or subject to change	d_a-197016	onveranderbaar	opus_std-dict
draconian	eng-30-03031102-a	of or relating to Draco or his harsh code of laws	r_a-10226	draconisch	opus_std-dict
cybernetic	eng-30-03057807-a	of or relating the principles of cybernetics	d_a-53663	cybernetisch	automatic-rule-1_google_bing_opus_std-dict
wrinkly	eng-30-01360413-a	marked by wrinkles	r_a-14600	rimpelig	automatic-rule-1_bing_opus_std-dict
rabbinic	eng-30-02930765-a	of or relating to rabbis or their teachings	d_a-232873	rabbijns	automatic-rule-1_google_bing_std-dict
unflattering	eng-30-00908315-a	showing or representing unfavorably	r_a-11238	geflatteerd	automatic-rule-1_opus_std-dict
intercontinental	eng-30-01567500-a	extending or taking place between or among continents	r_a-11945	intercontinentaal	opus_std-dict
punctual	eng-30-01900349-a	acting or arriving or performed exactly at the time appointed	r_a-15048	stipt	google_opus_std-dict
invigorating	eng-30-01356683-a	imparting strength and vitality	d_a-310615	verkwikkend	automatic-rule-1_google_bing_std-dict
hexagonal	eng-30-02741797-a	having six sides or divided into hexagons	d_a-316564	vijfhoekig	automatic-rule-1_opus_std-dict
peloponnesian	eng-30-02879947-a	of or relating to Peloponnesus	r_a-17089	Peloponnesisch	automatic-rule-1_google_bing_opus_std-dict
instructive	eng-30-01323449-a	serving to instruct or enlighten or inform	r_a-12157	leerzaam	google_bing_opus_std-dict
tuneless	eng-30-01502383-a	not having a musical sound or pleasing tune	d_a-197417	onwelluidend	google_std-dict
schismatic	eng-30-03115053-a	of or relating to or involved in or characteristic of schism	d_a-254115	schismatiek	google_std-dict
articulatory	eng-30-02643446-a	of or relating to articulation	d_a-13658	articulatorisch	automatic-rule-1_google_bing_std-dict
agronomic	eng-30-02608902-a	of or relating to or promoting agronomy	d_a-9288	agronomisch	opus_std-dict
semiotic	eng-30-02796042-a	of or relating to semiotics	d_a-258100	semiotisch	automatic-rule-1_google_bing_std-dict
botanic	eng-30-02668258-a	of or relating to plants or botany	r_a-9366	botanisch	bing_alt-dict
genealogical	eng-30-03067329-a	of or relating to genealogy	r_a-11285	genealogisch	google_std-dict
cordless	eng-30-02703911-a	not having a cord	r_a-10222	draadloos	google_bing_opus_alt-dict
displeased	eng-30-01805889-a	not pleased; experiencing or manifesting displeasure	r_a-12901	misnoegd	google_std-dict
hexagonal	eng-30-02741797-a	having six sides or divided into hexagons	d_a-344179	zeshoekig	google_opus_std-dict
olfactory	eng-30-02770629-a	of or relating to olfaction	d_a-189417	olfactorisch	automatic-rule-1_bing_opus_std-dict
permeable	eng-30-01772032-a	allowing fluids or gases to pass or diffuse through	r_a-14351	poreus	opus_std-dict
hierarchical	eng-30-01203288-a	classified according to various criteria into successive levels or layers	r_a-11650	hiërarchisch	opus_std-dict
tzarist	eng-30-02710043-a	of or relating to or characteristic of a czar	r_a-15518	tsaristisch	google_alt-dict
subsequent	eng-30-00122626-a	following in time or order	r_a-16306	volgend	google_std-dict
amicable	eng-30-01246579-a	characterized by friendship and good will	r_a-12885	minnelijk	google_std-dict
orthopedic	eng-30-03095068-a	of or relating to orthopedics	d_a-202608	orthopedisch	automatic-rule-1_google_bing_opus_std-dict
award-winning	eng-30-02654752-a	having received awards	d_a-44652	bekroond	automatic-rule-1_google_std-dict
pharmacologic	eng-30-02912686-a	of or relating to pharmacology	d_a-85609	farmacologisch	opus_std-dict
vascular	eng-30-02873811-a	of or relating to or having vessels that conduct and circulate fluids	d_a-306060	vasculair	automatic-rule-1_bing_opus_std-dict
superhuman	eng-30-01260873-a	above or beyond the human or demanding more than human power or endurance	r_a-9372	bovenmenselijk	bing_opus_alt-dict
effortful	eng-30-00836277-a	requiring great physical effort	r_a-12036	inspannend	google_std-dict
architectural	eng-30-02897957-a	of or pertaining to the art and science of architecture	r_a-8798	architectonisch	opus_alt-dict
isomorphic	eng-30-02828917-a	having similar appearance but genetically different	d_a-125356	isomorf	google_bing_opus_std-dict
undeniable	eng-30-00721505-a	not possible to deny	r_a-13352	onbetwistbaar	opus_std-dict
demosthenic	eng-30-03030515-a	of or relating to Demosthenes or his oratory	r_a-15918	veelzeggend	google_std-dict
declaratory	eng-30-00686890-a	relating to the use of or having the nature of a declaration	r_a-9555	bevestigend	automatic-rule-1_bing_std-dict
extracellular	eng-30-02685539-a	located or occurring outside a cell or cells	d_a-77227	extracellulair	automatic-rule-1_google_bing_opus_std-dict
studied	eng-30-01798828-a	produced or marked by conscious design or premeditation	r_a-11324	gestudeerd	opus_std-dict
atonal	eng-30-02438188-a	characterized by avoidance of traditional western tonality	r_a-9024	atonaal	google_opus_alt-dict
parttime	eng-30-01089369-a	involving less than the standard or customary time for an activity	r_a-14260	parttime	opus_std-dict
archaeologic	eng-30-02638392-a	related to or dealing with or devoted to archaeology	r_a-13947	oudheidkundig	google_std-dict
unpaved	eng-30-01739987-a	not having a paved surface	r_a-13745	onverhard	bing_alt-dict
distributed	eng-30-00539793-a	spread out or scattered about or divided up	r_a-16262	verspreid	opus_std-dict
uncharitable	eng-30-00359862-a	lacking love and generosity	r_a-12202	liefdeloos	bing_std-dict
discontinued	eng-30-00598203-a	stopped permanently or temporarily	d_a-102721	gestopt	opus_std-dict
follicular	eng-30-03019836-a	of or relating to or constituting a follicle	d_a-82327	folliculair	automatic-rule-1_google_bing_opus_std-dict
trivalent	eng-30-03126399-a	having a valence of three	d_a-295665	trivalent	automatic-rule-1_opus_std-dict
spacial	eng-30-02841066-a	pertaining to or involving or having the nature of space	r_a-14652	ruimtelijk	bing_alt-dict
concentric	eng-30-00542953-a	having a common center	r_a-9756	concentrisch	google_opus_std-dict
monocarboxylic	eng-30-02765640-a	containing one carboxyl group	d_a-72141	eenwaardig	automatic-rule-1_google_bing_opus_std-dict
phlegmy	eng-30-01178856-a	characterized by phlegm	r_a-10696	flegmatiek	opus_std-dict
relevant	eng-30-01975138-a	having a bearing on or connection with the subject at issue	r_a-14570	relevant	bing_opus_alt-dict
conjugal	eng-30-02872066-a	of or relating to marriage or to the relationship between a wife and husband	r_a-10348	echtelijk	bing_opus_alt-dict
unreconcilable	eng-30-01986926-a	impossible to reconcile	r_a-13783	onverzoenlijk	google_alt-dict
undesigned	eng-30-01340147-a	not done or made or performed with purpose or intent	r_a-13629	onopzettelijk	google_std-dict
interplanetary	eng-30-02779310-a	between or among planets	r_a-12041	interplanetair	google_bing_opus_alt-dict
prenuptial	eng-30-03043173-a	relating to events before a marriage	r_a-11760	huwelijks	google_alt-dict
disreputable	eng-30-01983797-a	lacking respectability in character or behavior or appearance	r_a-9226	berucht	google_std-dict
cacophonous	eng-30-00298767-a	having an unpleasant sound	d_a-197417	onwelluidend	automatic-rule-1_bing_std-dict
venous	eng-30-02642034-a	of or contained in or performing the function of the veins	r_a-8974	aderlijk	google_std-dict
introverted	eng-30-01350674-a	given to examining own sensory and perceptual experiences	r_a-11955	introvert	google_bing_opus_std-dict
fractional	eng-30-00516539-a	constituting or comprising a part or fraction of a possible whole or entirety	d_a-83225	fractioneel	opus_std-dict
antenuptial	eng-30-03043173-a	relating to events before a marriage	d_a-321048	voorhuwelijks	automatic-rule-1_bing_std-dict
revocable	eng-30-01760132-a	capable of being revoked or annulled	d_a-108837	herroepelijk	google_std-dict
inelegant	eng-30-00851103-a	lacking in refinement or grace or good taste	d_a-192050	onbevallig	google_bing_std-dict
deflationary	eng-30-02538803-a	associated with or tending to cause decreases in consumer prices or increases in the purchasing power of money	d_a-57425	deflatoir	automatic-rule-1_google_bing_opus_std-dict
recoverable	eng-30-01956060-a	capable of being recovered or regained	d_a-309395	verhaalbaar	google_std-dict
humorous	eng-30-01264336-a	full of or characterized by humor	r_a-11705	humoristisch	google_std-dict
geocentric	eng-30-01118568-a	having the earth as the center	d_a-90459	geocentrisch	google_bing_opus_std-dict
diachronic	eng-30-02377418-a	used of the study of a phenomenon (especially language) as it changes through time	d_a-59325	diachronisch	automatic-rule-1_bing_std-dict
specialized	eng-30-02277607-a	developed or designed for a special activity or function	r_a-11315	gespecialiseerd	automatic-rule-1_google_opus_std-dict
adaptive	eng-30-00046109-a	having a capacity for adaptation	d_a-4705	adaptief	opus_std-dict
limbic	eng-30-03011036-a	of or relating to or forming a limbus	d_a-158628	limbisch	google_opus_std-dict
platonic	eng-30-02780680-a	of or relating to or characteristic of Plato or his philosophy	r_a-14318	platonisch	google_opus_std-dict
germfree	eng-30-02116618-a	free from germs or pathogenic organisms; sterile	r_a-12621	kiemvrij	google_bing_opus_std-dict
pervious	eng-30-01773234-a	admitting of passage or entrance	d_a-71066	doorlatend	google_std-dict
concave	eng-30-00535452-a	curving inward	d_a-111007	holrond	automatic-rule-1_opus_std-dict
malnourished	eng-30-02300914-a	not being provided with adequate nourishment	r_a-13412	ondervoed	bing_opus_alt-dict
intercontinental	eng-30-01567500-a	extending or taking place between or among continents	r_a-11945	intercontinentaal	automatic-rule-2_bing_opus_alt-dict
unedifying	eng-30-01325691-a	not edifying	r_a-15964	verheffend	automatic-rule-1_opus_std-dict
sex-linked	eng-30-02887399-a	concerning characteristics that are determined by genes carried on the sex chromosomes (on the X chromosome in particular)	d_a-102699	geslachtsgebonden	google_bing_std-dict
informational	eng-30-02749150-a	relating to or having the nature of information	r_a-11907	informatief	opus_std-dict
leguminous	eng-30-02755190-a	relating to or consisting of legumes	d_a-318427	vlinderbloemig	automatic-rule-1_bing_std-dict
calcicolous	eng-30-02595071-a	growing or living in soil rich in lime	d_a-130134	kalkminnend	automatic-rule-1_google_bing_std-dict
unbaptized	eng-30-02594443-a	not having undergone the Christian ritual of baptism	d_a-208151	ongedoopt	google_std-dict
heliocentric	eng-30-01118928-a	having the sun as the center	d_a-107665	heliocentrisch	automatic-rule-1_bing_std-dict
barometric	eng-30-02658835-a	relating to atmospheric pressure or indicated by a barometer	d_a-21838	barometrisch	automatic-rule-1_google_bing_opus_std-dict
opposable	eng-30-01662510-a	capable of being placed opposite to something	r_a-9466	beweegbaar	opus_alt-dict
discontented	eng-30-00589624-a	showing or experiencing dissatisfaction or restless longing	r_a-13681	ontevreden	google_bing_std-dict
neoplastic	eng-30-02768271-a	of or related to or having the properties of a neoplasm	d_a-187996	neoplastisch	automatic-rule-1_google_bing_opus_std-dict
undeniable	eng-30-00721505-a	not possible to deny	r_a-13584	onloochenbaar	google_std-dict
negligent	eng-30-00754873-a	characterized by neglect and undue lack of concern	r_a-13060	nalatig	automatic-rule-1_opus_std-dict
propagandistic	eng-30-03022739-a	of or relating to or characterized by propaganda	r_a-14225	propagandistisch	automatic-rule-1_google_bing_std-dict
gerontological	eng-30-02916539-a	of or relating to or practicing geriatrics	d_a-91018	gerontologisch	automatic-rule-1_bing_std-dict
relaxed	eng-30-02407603-a	without strain or anxiety	r_a-14569	relaxed	google_opus_std-dict
wrinkly	eng-30-01360413-a	marked by wrinkles	r_a-14600	rimpelig	opus_std-dict
anaglyphic	eng-30-02619839-a	related to anaglyphs or anaglyphy	d_a-272528	stereoscopisch	automatic-rule-1_google_std-dict
hydrodynamic	eng-30-02979995-a	of or relating to hydrodynamics	d_a-114721	hydrodynamisch	automatic-rule-1_google_bing_opus_std-dict
perceptual	eng-30-02945377-a	of or relating to the act of perceiving	r_a-15807	waarneembaar	opus_alt-dict
unavenged	eng-30-03147408-a	for which vengeance has not been taken	d_a-208255	ongewroken	google_opus_std-dict
bacteriostatic	eng-30-02657619-a	of or relating to or causing bacteriostasis	d_a-20053	bacteriostatisch	opus_std-dict
intravenous	eng-30-02890703-a	within or by means of a vein	r_a-11954	intraveneus	bing_opus_alt-dict
unchangeable	eng-30-00346991-a	not changeable or subject to change	r_a-13725	onveranderlijk	google_bing_opus_std-dict
helpful	eng-30-01195536-a	providing assistance or serving a useful function	r_a-13196	nuttig	opus_alt-dict
alkaline	eng-30-00025728-a	relating to or containing an alkali; having a pH greater than 7	d_a-9810	alkalisch	google_opus_std-dict
fiscal	eng-30-02847894-a	involving financial matters	r_a-9510	budgettair	opus_alt-dict
unsatisfactory	eng-30-02082218-a	not giving satisfaction	r_a-13358	onbevredigend	google_bing_opus_std-dict
ergonomic	eng-30-02721877-a	of or relating to ergonomics	r_a-10510	ergonomisch	opus_std-dict
tetragonal	eng-30-02834480-a	of or relating to or shaped like a quadrilateral	d_a-316367	vierhoekig	google_std-dict
nonfatal	eng-30-00994210-a	not bringing death	r_a-10643	fataal	google_std-dict
tortious	eng-30-02817999-a	of or pertaining to the nature of a tort	r_a-13647	onrechtmatig	google_bing_opus_alt-dict
schismatical	eng-30-03115053-a	of or relating to or involved in or characteristic of schism	d_a-254115	schismatiek	google_std-dict
imprecise	eng-30-01839417-a	not precise	r_a-13600	onnauwkeurig	google_opus_std-dict
uncharacteristic	eng-30-00357983-a	distinctive and not typical	d_a-14743	atypisch	automatic-rule-1_google_std-dict
bosnian	eng-30-02964629-a	of or relating to or characteristic of Bosnia-Herzegovina or the people of Bosnia	r_a-16755	Bosnisch	automatic-rule-1_opus_std-dict
seductive	eng-30-02097268-a	tending to entice into a desired action or state	r_a-15981	verleidelijk	google_std-dict
sisterly	eng-30-00291665-a	like or characteristic of or befitting a sister	r_a-16558	zusterlijk	google_opus_std-dict
abundant	eng-30-00013887-a	present in great quantity	r_a-14004	overvloedig	bing_opus_alt-dict
taxonomic	eng-30-03018498-a	of or relating to taxonomy	d_a-299727	taxonomisch	automatic-rule-1_google_bing_std-dict
expiatory	eng-30-02940509-a	having power to atone for or offered by way of expiation or propitiation	r_a-16287	verzoenend	bing_alt-dict
rupicolous	eng-30-03133994-a	composed of or inscribed on rock	d_a-130134	kalkminnend	bing_std-dict
mitotic	eng-30-03019483-a	of or relating to or undergoing mitosis	d_a-173633	mitotisch	automatic-rule-1_google_bing_opus_std-dict
algebraical	eng-30-02854350-a	of or relating to algebra	r_a-8989	algebraïsch	google_alt-dict
unethical	eng-30-00905728-a	not conforming to approved standards of social or professional behavior	d_a-208121	onethisch	automatic-rule-1_opus_std-dict
insanitary	eng-30-02113449-a	not sanitary or healthful	r_a-13570	onhygiënisch	bing_alt-dict
brisant	eng-30-02670899-a	of or relating to the power (the shattering effect) of an explosive	d_a-37918	brisant	google_bing_std-dict
iconic	eng-30-02851550-a	relating to or having the characteristics on an icon	d_a-126672	iconisch	opus_std-dict
polytheistic	eng-30-01781356-a	worshipping or believing in more than one god	d_a-231982	polytheïstisch	automatic-rule-1_google_bing_std-dict
rotatory	eng-30-02939919-a	of or relating to or characteristic or causing an axial or orbital turn	d_a-248455	roterend	automatic-rule-1_google_std-dict
wigged	eng-30-02564546-a	wearing a wig	d_a-102651	gepruikt	google_bing_std-dict
avirulent	eng-30-00046014-a	not virulent; unable to produce disease	d_a-15422	avirulent	automatic-rule-1_bing_std-dict
many	eng-30-01551633-a	a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number	r_a-11625	hartelijk	opus_std-dict
gastronomic	eng-30-02975840-a	of or relating to gastronomy	d_a-86961	gastronomisch	google_opus_std-dict
unloving	eng-30-01466593-a	not giving or reciprocating affection	r_a-12202	liefdeloos	google_bing_std-dict
reducible	eng-30-00883611-a	capable of being reduced	d_a-108662	herleidbaar	google_std-dict
invigorating	eng-30-01356683-a	imparting strength and vitality	r_a-16266	versterkend	opus_std-dict
nitrogenous	eng-30-03091861-a	of or relating to or containing nitrogen	d_a-284409	stikstofhoudend	automatic-rule-1_bing_opus_std-dict
controlled	eng-30-00598679-a	restrained or managed or kept within certain bounds	d_a-208064	onderdrukt	opus_std-dict
corvine	eng-30-02845158-a	relating to or resembling a crow	d_a-232665	raafachtig	google_std-dict
fugal	eng-30-03011126-a	of or relating to or in the style of a musical fugue	d_a-84007	fugatisch	automatic-rule-1_google_bing_std-dict
papal	eng-30-02879638-a	proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles	r_a-14190	pauselijk	google_opus_std-dict
alarming	eng-30-00193015-a	frightening because of an awareness of danger	r_a-16446	zorgwekkend	google_std-dict
curving	eng-30-02315002-a	having or marked by a curve or smoothly rounded bend	r_a-11222	gebogen	google_bing_std-dict
superhuman	eng-30-01260873-a	above or beyond the human or demanding more than human power or endurance	r_a-9372	bovenmenselijk	google_opus_std-dict
unipolar	eng-30-02475529-a	having a single pole	d_a-78468	eenpolig	automatic-rule-1_opus_std-dict
typographical	eng-30-02910248-a	relating to or occurring or used in typography	r_a-15531	typografisch	google_opus_std-dict
hierarchical	eng-30-01203288-a	classified according to various criteria into successive levels or layers	r_a-11650	hiërarchisch	google_bing_opus_alt-dict
arithmetical	eng-30-03044869-a	relating to or involving arithmetic	r_a-14567	rekenkundig	google_bing_opus_std-dict
undamaged	eng-30-00681094-a	not harmed or spoiled; sound	r_a-13324	onbeschadigd	opus_alt-dict
debilitating	eng-30-01357966-a	impairing the strength and vitality	r_a-14927	slopend	google_bing_opus_alt-dict
syntactical	eng-30-02880557-a	of or relating to or conforming to the rules of syntax	r_a-15199	syntactisch	bing_opus_alt-dict
sudden	eng-30-01143279-a	happening without warning or in a short space of time	r_a-14205	plots	opus_alt-dict
unsystematic	eng-30-02383151-a	lacking systematic arrangement or method or organization	d_a-195096	onsystematisch	automatic-rule-1_opus_std-dict
impermeable	eng-30-01772609-a	preventing especially liquids to pass or diffuse through	r_a-13421	ondoordringbaar	bing_alt-dict
suspected	eng-30-02370212-a	believed likely	r_a-15991	vermoedelijk	opus_alt-dict
illegal	eng-30-01401854-a	prohibited by law or by official or accepted rules	r_a-16213	verboden	opus_std-dict
nonlinear	eng-30-01417790-a	designating or involving an equation whose terms are not of the first degree	r_a-12218	lineair	google_alt-dict
ornithological	eng-30-03094928-a	of or relating to ornithology	r_a-13936	ornithologisch	bing_opus_std-dict
relevant	eng-30-01975138-a	having a bearing on or connection with the subject at issue	r_a-14570	relevant	google_opus_std-dict
greater	eng-30-01395330-a	greater in size or importance or degree	d_a-110766	hoger	opus_std-dict
papillate	eng-30-03010337-a	resembling or covered with papillae	d_a-210737	papillair	google_std-dict
autogenous	eng-30-00181030-a	originating within the body	d_a-15034	autogeen	google_std-dict
nonexistent	eng-30-00927578-a	not having existence or being or actuality	r_a-13338	onbestaand	google_std-dict
sufficient	eng-30-02335828-a	of a quantity that can fulfill a need or requirement but without being abundant	d_a-542087	voldoend	automatic-rule-1_google_bing_opus_std-dict
demanding	eng-30-00710260-a	requiring more than usually expected or thought due; especially great patience and effort and skill	r_a-16196	veeleisend	google_bing_opus_alt-dict
hydrostatic	eng-30-02828123-a	relating to fluids at rest or to the pressures they exert or transmit	d_a-114802	hydrostatisch	automatic-rule-1_bing_opus_std-dict
psycholinguistic	eng-30-02939656-a	of or relating to the psychology of language	d_a-536643	psycholinguïstisch	bing_std-dict
unrealistic	eng-30-01941999-a	not realistic	r_a-13646	onrealistisch	opus_alt-dict
uncomparable	eng-30-00504592-a	such that comparison is impossible; unsuitable for comparison or lacking features that can be compared	r_a-13743	onvergelijkbaar	google_bing_std-dict
shambolic	eng-30-03135937-a	(British slang) disorderly or chaotic	r_a-15808	wanordelijk	automatic-rule-1_google_bing_opus_std-dict
deserved	eng-30-01371137-a	properly deserved	r_a-16218	verdiend	bing_opus_alt-dict
ridged	eng-30-03153361-a	having a ridge or shaped like a ridge or suggesting the keel of a ship	r_a-11438	geribbeld	bing_std-dict
ethnographical	eng-30-03064883-a	of or relating to ethnography	d_a-75880	etnografisch	automatic-rule-1_google_bing_std-dict
untranslatable	eng-30-02489312-a	not capable of being put into another form or style or language	r_a-13768	onvertaalbaar	opus_alt-dict
anarchistic	eng-30-02621348-a	of or related to anarchism or tending toward anarchism	r_a-8923	anarchistisch	automatic-rule-1_google_bing_std-dict
meaningless	eng-30-01497736-a	having no meaning or direction or purpose	r_a-9457	betekenisloos	opus_std-dict
preclinical	eng-30-02783412-a	of or relating to the early phases of a disease when accurate diagnosis is not possible because symptoms of the disease have not yet appeared	d_a-223868	preklinisch	automatic-rule-1_google_bing_opus_std-dict
ethnocentric	eng-30-03135290-a	centered on a specific ethnic group, usually one's own	r_a-10573	etnocentrisch	automatic-rule-1_google_bing_std-dict
authorial	eng-30-02651014-a	of or by or typical of an author	r_a-8838	autoritair	bing_alt-dict
patriotic	eng-30-01740207-a	inspired by love for your country	r_a-14188	patriottisch	opus_std-dict
unplayable	eng-30-00955405-a	not capable of or suitable for being played or played on	d_a-208341	onspeelbaar	google_bing_std-dict
tsarist	eng-30-02710043-a	of or relating to or characteristic of a czar	r_a-15518	tsaristisch	google_bing_opus_alt-dict
axiomatical	eng-30-02653385-a	of or relating to or derived from axioms	d_a-15633	axiomatisch	google_std-dict
palaeolithic	eng-30-03090263-a	of or relating to the second period of the Stone Age (following the eolithic)	d_a-209892	paleolithisch	automatic-rule-1_google_std-dict
undamaged	eng-30-00681094-a	not harmed or spoiled; sound	r_a-13324	onbeschadigd	google_bing_opus_std-dict
phrenological	eng-30-02778016-a	of or relating to phrenology	d_a-83517	frenologisch	automatic-rule-1_google_std-dict
dejected	eng-30-00703109-a	affected or marked by low spirits	r_a-13101	neerslachtig	google_std-dict
vulpine	eng-30-02839865-a	resembling or characteristic of a fox	r_a-12226	listig	google_std-dict
enterprising	eng-30-00884778-a	marked by imagination, initiative, and readiness to undertake new projects	r_a-13405	ondernemend	automatic-rule-1_bing_opus_std-dict
curved	eng-30-02315002-a	having or marked by a curve or smoothly rounded bend	r_a-11222	gebogen	google_bing_opus_std-dict
autographic	eng-30-02651921-a	written in the author's own handwriting	d_a-15056	autografisch	google_std-dict
architectural	eng-30-02897957-a	of or pertaining to the art and science of architecture	r_a-9498	bouwkundig	opus_alt-dict
formalistic	eng-30-02730304-a	concerned with or characterized by rigorous adherence to recognized forms (especially in religion or art)	r_a-10718	formalistisch	google_bing_opus_alt-dict
thalloid	eng-30-03142399-a	of or relating to or resembling or consisting of a thallus	d_a-299727	taxonomisch	automatic-rule-1_bing_std-dict
intolerable	eng-30-02435671-a	incapable of being put up with	r_a-13424	ondraaglijk	google_std-dict
sporadic	eng-30-00593374-a	recurring in scattered and irregular or unpredictable instances	r_a-15165	sporadisch	google_opus_std-dict
equitable	eng-30-00958151-a	fair to all parties as dictated by reason and conscience	r_a-14542	rechtvaardig	opus_alt-dict
schismatic	eng-30-03115053-a	of or relating to or involved in or characteristic of schism	d_a-254115	schismatiek	automatic-rule-1_bing_std-dict
influential	eng-30-01830134-a	having or exercising influence or power	r_a-11958	invloedrijk	google_opus_std-dict
archeological	eng-30-02638392-a	related to or dealing with or devoted to archaeology	r_a-8945	archeologisch	google_opus_alt-dict
metrological	eng-30-02763927-a	of or relating to metrology	d_a-180512	metrologisch	automatic-rule-1_google_bing_std-dict
passionate	eng-30-01725712-a	having or expressing strong emotions	r_a-11295	gepassioneerd	bing_opus_std-dict
unblemished	eng-30-00247013-a	free from physical or moral spots or stains	r_a-13355	onbevlekt	bing_alt-dict
humorless	eng-30-01268426-a	"lacking humor; a wink of warning""- Truman Capote"	r_a-11826	humorloos	bing_opus_std-dict
alphanumeric	eng-30-02614579-a	of or pertaining to alphanumeric characters	r_a-8751	alfanumeriek	google_opus_std-dict
papillary	eng-30-03010176-a	of or relating to or resembling papilla	d_a-210737	papillair	google_std-dict
demanding	eng-30-00710260-a	requiring more than usually expected or thought due; especially great patience and effort and skill	r_a-16196	veeleisend	opus_std-dict
inefficacious	eng-30-00839411-a	lacking the power to produce a desired effect	d_a-193625	ondoeltreffend	google_std-dict
undiluted	eng-30-00756728-a	not diluted	d_a-197071	onverdund	google_bing_opus_std-dict
heterozygous	eng-30-01200915-a	having dissimilar alleles at corresponding chromosomal loci	d_a-109356	heterozygoot	google_bing_opus_std-dict
phlegmy	eng-30-01178856-a	characterized by phlegm	d_a-261360	slijmachtig	google_std-dict
nonexistent	eng-30-00927578-a	not having existence or being or actuality	r_a-13133	niet-bestaand	bing_std-dict
radioactive	eng-30-00426907-a	exhibiting or caused by radioactivity	r_a-14509	radioactief	opus_std-dict
archeologic	eng-30-02638392-a	related to or dealing with or devoted to archaeology	r_a-8945	archeologisch	bing_alt-dict
noxious	eng-30-01611067-a	injurious to physical or mental health	r_a-14804	schadelijk	google_std-dict
wintery	eng-30-01255807-a	characteristic of or occurring in winter	r_a-15759	winters	automatic-rule-1_google_bing_std-dict
typographical	eng-30-02910248-a	relating to or occurring or used in typography	r_a-15531	typografisch	bing_opus_alt-dict
motorised	eng-30-01559484-a	equipped with a motor or motors	r_a-10928	gemotoriseerd	automatic-rule-1_google_bing_opus_std-dict
unprofitable	eng-30-01871949-a	producing little or no profit or gain	r_a-13653	onrendabel	opus_std-dict
shaved	eng-30-02153472-a	having the beard or hair cut off close to the skin	r_a-11310	geschoren	google_bing_opus_std-dict
detachable	eng-30-00162083-a	designed to be unfastened or disconnected without damage	r_a-8888	afneembaar	google_opus_std-dict
respiratory	eng-30-03110322-a	pertaining to respiration	d_a-238883	respiratoir	automatic-rule-1_bing_opus_std-dict
intravenous	eng-30-02890703-a	within or by means of a vein	r_a-11954	intraveneus	google_opus_std-dict
warmhearted	eng-30-02533313-a	marked by warmth of feeling like kindness and sympathy and generosity	d_a-330560	warmhartig	automatic-rule-1_google_bing_std-dict
coiled	eng-30-02317327-a	curled or wound (especially in concentric rings or spirals)	d_a-523137	gedraaid	automatic-rule-1_opus_std-dict
diverging	eng-30-00612652-a	tending to move apart in different directions	r_a-15788	uiteenlopend	opus_std-dict
avirulent	eng-30-00046014-a	not virulent; unable to produce disease	d_a-15422	avirulent	google_std-dict
declaratory	eng-30-00686890-a	relating to the use of or having the nature of a declaration	r_a-16241	verklarend	google_std-dict
loving	eng-30-01463965-a	feeling or showing love and affection	d_a-164821	liefhebbend	google_std-dict
seaworthy	eng-30-02087956-a	fit for a sea voyage	r_a-16397	zeewaardig	opus_alt-dict
cloven-hoofed	eng-30-02698514-a	of or relating to the cloven feet of ruminants or swine	d_a-76305	evenhoevig	bing_std-dict
monocotyledonous	eng-30-00753922-a	(of a flowering plant) having a single cotyledon in the seed as in grasses and lilies	d_a-72145	eenzaadlobbig	automatic-rule-1_google_bing_std-dict
hirsute	eng-30-00212173-a	having or covered with hair	r_a-13845	oorlogszuchtig	bing_std-dict
unhearable	eng-30-00174379-a	impossible to hear; imperceptible by the ear	r_a-13568	onhoorbaar	google_std-dict
liturgical	eng-30-02994312-a	of or relating to or in accord with liturgy	r_a-12228	liturgisch	bing_alt-dict
associative	eng-30-00157389-a	characterized by or causing or resulting from the process of bringing ideas or events together in memory or imagination	r_a-8818	associatief	google_opus_std-dict
interstitial	eng-30-02828564-a	of or relating to interstices	d_a-124022	interstitieel	opus_std-dict
unprotected	eng-30-01886407-a	lacking protection or defense	r_a-13326	onbeschermd	automatic-rule-1_bing_opus_std-dict
agronomic	eng-30-02608902-a	of or relating to or promoting agronomy	r_a-12292	landbouwkundig	google_opus_std-dict
platonic	eng-30-02780680-a	of or relating to or characteristic of Plato or his philosophy	r_a-14318	platonisch	bing_opus_alt-dict
monistic	eng-30-02947019-a	of or relating to the philosophical doctrine of monism	r_a-12943	monistisch	google_bing_std-dict
