lemma	rbn_id	synset_id	pos	ODWN_gloss	hypernym(s)	hypernym_gloss	ILI_English_gloss				
ontslagprocedure	r_n-26233	odwn-10-109072464-n	n	te volgen regels bij ontslagaanvraag;to follow rules on resignation	eng-30-01023820-n	a particular course of action intended to achieve a result					
woekeren	r_v-10179	odwn-10-104121345-v	v	voortdurend groeien;constantly grow	eng-30-01158872-v	put into service; make work or employ for a particular purpose or for its inherent or natural purpose					
Libanon	r_n-22008	odwn-10-107426424-n	n	gebergte in Libanon;Mountains in Lebanon	eng-30-02949691-n	the most commonly used illicit drug; considered a soft drug, it consists of the dried leaves of the hemp plant; smoked or chewed for euphoric effect					
koppeling	r_n-20512	odwn-10-104652209-n	n	het verbinden;linking	eng-30-00145218-n	the act of bringing two things into contact (especially for communication)					
leeuwenkooi	r_n-21686	odwn-10-109521999-n	n	kooi voor één of meer leeuwen;cage for one or more lions	eng-30-02936714-n	an enclosure made or wire or metal bars in which birds or animals can be kept					
woordenstrijd	r_n-43563	odwn-10-106716912-n	n	ruzie	eng-30-00958896-n	an open clash between two opposing groups (or individuals)					
kerstfeest	r_n-19405	odwn-10-108146261-n	n	feest op 25 en 26 december;festival on 25 and 26 December	eng-30-07450651-n	a joyful occasion for special festivities to mark some happy event					
bereiden	r_v-1337	odwn-10-109361249-v	v	volgens procédé maken;make under process	eng-30-00515154-v	subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition					
politiekorps	r_n-29080	odwn-10-106788654-n	n	regionale afdeling v.d. politie;regional department of the police	eng-30-08213079-n	a body of people associated together					
parafrase	r_n-27601	odwn-10-103997105-n	n	omschrijving met andere woorden	eng-30-06724763-n	a statement that represents something in words					
ontsnappen	r_v-5345	odwn-10-106362551-v	v	ontvluchten;flee	eng-30-02075462-v	run away quickly					
splitsing	r_n-35096	odwn-10-107569223-n	n	handeling v.h. in delen splitsen;het splitsen;split	eng-30-00385791-n	the act or process of dividing					
schort	r_n-33240_sub_1	odwn-10-102034280-n	n		eng-30-03604400-n	a sleeveless dress resembling an apron; worn over other clothing					
heterofilie	r_n-16802	odwn-10-101695229-n	n	seksuele geaardheid v.e. heterofiel;sexual orientation of a hetero profile	eng-30-07488340-n	a deep feeling of sexual desire and attraction					
reactiesnelheid	r_n-30601	odwn-10-105609956-n	n	snelheid waarmee iets/iemand reageert;speed with which something or someone responds	eng-30-05058140-n	a rate (usually rapid) at which something happens					
stokslag	r_n-35979	odwn-10-108306354-n	n	slag met een stok;blow with a stick	eng-30-01173038-n	a powerful stroke with the fist or a weapon					
plasticiteit	r_n-28760	odwn-10-106988121-n	n	beeldende kracht;visual power	eng-30-11410625-n	a phenomenon that follows and is caused by some previous phenomenon					
pak	r_n-27367	odwn-10-100580566-n	n	grip	eng-30-04928903-n	how something is done or how it happens					
knoet	r_n-19995	odwn-10-107247425-n	n	knot haar	eng-30-08008017-n	a collection of things wrapped or boxed together					
regeren	r_v-6610	odwn-10-107678046-v	v	besturen;control	eng-30-02586619-v	exercise authority over; as of nations					
pen-en-gatverbinding	r_n-28071	odwn-10-102630971-n	n	bepaalde houtverbinding;certain timber connection	eng-30-03642573-n	joint made by overlapping two ends and joining them together					
rondvraag	r_n-32004	odwn-10-102572283-n	n	gelegenheid tot vragen stellen	eng-30-07193184-n	a request for information					
vaartijd	r_n-39387	odwn-10-105677711-n	n	tijd dat men vaart;time one sails	eng-30-15270431-n	a period of time considered as a resource under your control and sufficient to accomplish something					
bewerker	r_n-7106	odwn-10-104509832-n	n	iemand die aan iets werkt;someone working on something	eng-30-00007846-n	a human being					
glamour	r_n-15246	odwn-10-109435357-n	n	betoverende schijn;glamorous appearance	eng-30-04677952-n	an outward or token appearance or form that is deliberately misleading					
ventilator	r_n-39845	odwn-10-108277488-n	n	apparaat dat lucht doet circuleren;device that circulates air	eng-30-03183080-n	an instrumentality invented for a particular purpose					
taxatieprijs	r_n-37040	odwn-10-101389831-n	n	prijs bepaald door taxatie;price determined by valuation	eng-30-05163807-n	value measured by what must be given or done or undergone to obtain something					
omhaal	r_n-25703	odwn-10-102296180-n	n	schop terwijl men springt	eng-30-00136329-n	the act of delivering a blow with the foot					
witkiel	r_n-43424	odwn-10-109765870-n	n	iemand die bagage sjouwt;someone lugging luggage	eng-30-00007846-n	a human being					
speelduur	r_n-34847	odwn-10-104456687-n	n	duur v.e. plaat of wedstrijd	eng-30-15133621-n	the period of time during which something continues					
gezindte	r_n-15089	odwn-10-107659703-n	n	kerkgenootschap	eng-30-08227214-n	a formal association of people with similar interests					
tofoe	r_n-37946	odwn-10-105722481-n	n		eng-30-00020827-n	that which has mass and occupies space					
afwasborstel	r_n-3051	odwn-10-101760125-n	n	borstel voor de afwas;brush for washing dishes	eng-30-02908217-n	an implement that has hairs or bristles firmly set into a handle					
zomen	r_v-10446	odwn-10-100252629-v	v	van een zoom voorzien;a zoom feature	eng-30-00515154-v	subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition					
lerares	r_n-21858	odwn-10-109863297-n	n	vrouw die lesgeeft;woman who teaches	eng-30-10787470-n;eng-30-10694258-n	an adult female person (as opposed to a man)					
boerendochter	r_n-7849	odwn-10-107121991-n	n	dochter v.e. boer	eng-30-09917593-n	a young person of either sex					
schouderklopje	r_n-33270	odwn-10-107814592-n	n	blijk van waardering;token of appreciation	eng-30-06695227-n	a remark (or act) expressing praise and admiration					
dopen	r_v-2486	odwn-10-103686718-v	v	dompelen in vloeistof;dipping into liquid	eng-30-00217956-v	make moist					
privé-gesprek	r_n-29691	odwn-10-103678631-n	n	niet-zakelijk gesprek;non-business conversation	eng-30-07135734-n	an exchange of ideas via conversation					
theehuis	r_n-37558	odwn-10-107524262-n	n	gelegenheid voor theedrinken;opportunity for tea	eng-30-02913152-n	a structure that has a roof and walls and stands more or less permanently in one place					
afstemmen	r_v-791	odwn-10-103315393-v	v	instellen op een zender;set to a station	eng-30-00296178-v	alter or regulate so as to achieve accuracy or conform to a standard					
toetakelen	r_v-8035	odwn-10-103259319-v	v	smakeloos opmaken, uitdossen;tacky format , uitdossen	eng-30-00047945-v	provide with clothes or put clothes on					
staatsiebezoek	r_n-35396	odwn-10-100013097-n	n		eng-30-01233156-n	the act of going to see some person or place or thing for a short time					
zwachtel	r_n-44518	odwn-10-108277568-n	n	windsel van verbandgaas (en watten)	eng-30-02785648-n;eng-30-04391569-n	a piece of soft material that covers and protects an injured part of the body					
knipperen	r_v-4024	odwn-10-106138614-v	v	snel aan/uitgaan van licht;fast or go light	eng-30-01378556-v	distribute or disperse widely					
grondlaag	r_n-15859	odwn-10-107913813-n	n	laag v.d. aarde;low of the earth	eng-30-03058949-n	a layer of paint covering something else					
proefboring	r_n-29795	odwn-10-105856213-n	n	boring als vooronderzoek;boring as for research	eng-30-00636921-n	systematic investigation to establish facts					
Spaans	r_n-34739	odwn-10-106485347-n	n	Spaanse taal;Spanish	eng-30-06282651-n	a systematic means of communicating by the use of sounds or conventional symbols					
hazenslaapje	r_n-16447	odwn-10-108556875-n	n	licht slaapje;light sleep	eng-30-13920835-n	a state at a particular time					
sportschool	r_n-35193	odwn-10-105229017-n	n	school waar je kan (leren) sporten;school where you can learn to sports	eng-30-08053576-n	an organization founded and united for a specific purpose					
uiterwaard	r_n-38967	odwn-10-109103569-n	n	grond tussen dijk en zomerkade;land between the dike and summer quay	eng-30-08497294-n;eng-30-08630985-n	a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)					
romancier	r_n-31950	odwn-10-105940024-n	n	iemand die romans schrijft;someone who writes novels	eng-30-10794014-n	writes (books or stories or articles or the like) professionally (for pay)					
waardigheid	r_n-42130	odwn-10-101044277-n	n	ambt van aanzien;office of respect	eng-30-00582388-n	the principal activity in your life that you do to earn money					
rehabiliteren	r_v-6619	odwn-10-108838669-v	v	eerherstel geven;rehabilitate	eng-30-00694068-v	regard highly; think much of					
achteroverslaan	r_v-394	odwn-10-102529941-v	v	achterwaarts omvallen;topple backwards	eng-30-01170052-v	take in liquids					
naaktfoto	r_n-24491	odwn-10-102378681-n	n	foto met naaktfiguren;picture with nudes	eng-30-03925226-n	a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material					
prak	r_n-29457	odwn-10-100840852-n	n	portie fijngestampt eten;portion of mashed food	eng-30-07557434-n;eng-30-07578363-n	a particular item of prepared food					
arbeidsomstandigheden	r_n-3826	odwn-10-103002296-n	n	werkomgeving;environment	eng-30-14524661-n	the prevailing psychological state					
plusteken	r_n-28931	odwn-10-106714419-n	n	wiskundig teken voor optellen;mathematical symbol for addition	eng-30-06806469-n	an arbitrary sign (written or printed) that has acquired a conventional significance					
paleontoloog	r_n-27406	odwn-10-108996237-n	n	specialist in de paleontologie;specialist in paleontology	eng-30-09617867-n	a person with special knowledge or ability who performs skillfully					
stoïcijn	r_n-35972	odwn-10-102465686-n	n	onverstoorbaar iemand;imperturbable someone	eng-30-00007846-n	a human being					
luchter	r_n-22655	odwn-10-109526855-n	n	hanglamp met veel armen en lampjes;pendant with many arms and lights	eng-30-03636248-n	an artificial source of visible illumination					
zuiger	r_n-44444	odwn-10-109947140-n	n	machine die bagger opzuigt;machine that sucks dredging	eng-30-03236423-n	a barge (or a vessel resembling a barge) that is used for dredging					
rabauw	r_n-30303	odwn-10-105677320-n	n	bepaalde winterappel;certain russet	eng-30-07705931-n	edible reproductive body of a seed plant especially one having sweet flesh					
marktaandeel	r_n-23247	odwn-10-107579185-n	n	aandeel v.d. totale afzet;share of the Total sales	eng-30-01085098-n	the allotment of some amount by dividing something					
aanhangen	r_v-74	odwn-10-104647170-v	v	enthousiast steunen;enthusiastic support	eng-30-02556126-v;eng-30-02219094-v	give moral or psychological support, aid, or courage to					
hoofdredacteur	r_n-17105	odwn-10-108407433-n	n	hoofd v.d. redactie;head of the editorial office	eng-30-10162991-n	a person who is in charge					
rustpensioen	r_n-32322	odwn-10-105375724-n	n	pensioen aan het eind v.d. loopbaan	eng-30-13384164-n	a regular payment to a person that is intended to allow them to subsist without working					
bodemprocedure	r_n-7732	odwn-10-104814163-n	n	gewone rechtsgang;ordinary justice	eng-30-01023820-n	a particular course of action intended to achieve a result					
volkswijsheid	r_n-41470	odwn-10-109192067-n	n	op algemene ervaring berustende wijsheid;general experience-based wisdom	eng-30-05675905-n	having knowledge of					
strandstoel	r_n-36211	odwn-10-108778596-n	n	stoel zoals gebruikt op het strand	eng-30-03002711-n	a long chair; for reclining					
rolkraag	r_n-31926	odwn-10-109152786-n	n	bepaald soort kraag;certain kind of collar	eng-30-03068181-n	a band that fits around the neck and is usually folded over					
heengaan	r_v-3134	odwn-10-107190282-v	v	weggaan;leave	eng-30-01835496-v	change location; move, travel, or proceed, also metaphorically					
achtergrondstraling	r_n-2595	odwn-10-109152136-n	n	normale radioactieve straling;normal radiation	eng-30-11499284-n	energy that is radiated or transmitted in the form of rays or waves or particles					
immigratie	r_n-17682_sub_1	odwn-10-100481398-n	n		eng-30-00168658-n	the act of changing your residence or place of business					
paneren	r_v-6169	odwn-10-101151300-v	v	met paneermeel bestrooien;sprinkle with breadcrumbs	eng-30-01332730-v;eng-30-01233387-v;eng-30-01378556-v	provide with a covering or cause to be covered					
ACLVB	r_n-2659	odwn-10-109647002-n	n	Belgische vakbond;Belgian union	eng-30-08233056-n	an organization of employees formed to bargain with the employer					
glacé	r_n-15240	odwn-10-105696926-n	n	glanzend leer;shiny leather	eng-30-03616979-n	a glove made of fine soft leather (as kidskin)					
CPN	r_n-10117	odwn-10-109195842-n	n		eng-30-08256968-n	an organization to gain political power					
breedtecirkel	r_n-8455	odwn-10-109960175-n	n	denkbeeldige cirkel over de aarde;imaginary circle the earth	eng-30-13873502-n	ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point					
bloemstuk	r_n-7658	odwn-10-109745825-n	n	sierlijk gerangschikte bloemen;gracefully arranged flowers	eng-30-03067912-n	a paste-up made by sticking together pieces of paper or photographs to form an artistic image					
exportvergunning	r_n-12856	odwn-10-109788434-n	n	vergunning voor uitvoer;authorized for export	eng-30-06549661-n	a legal document giving official permission to do something					
vegeteren	r_v-8741	odwn-10-105005793-v	v	leven ten koste van;live at the expense of	eng-30-02681795-v	keep in a certain state, position, or activity; e.g., "keep clean"					
mentor	r_n-23622	odwn-10-109546325-n	n	iemand die leerlingen begeleidt;someone who guides students	eng-30-09608709-n	a person who helps people or institutions (especially with financial help)					
rijles	r_n-31690	odwn-10-101015909-n	n	auto- of paardrijles	eng-30-06185955-n	a doctrine that is taught					
schuld	r_n-33409	odwn-10-102235477-n	n	nog te betalen bedrag;outstanding amount	eng-30-13990675-n	the state of having committed an offense					
voedseltekort	r_n-41305	odwn-10-109108635-n	n	tekort aan voedsel;food shortage	eng-30-14462666-n	the state or an instance of being imperfect					
vernederlandsen	r_v-9165	odwn-10-103496327-v	v	Nederlands worden;is Dutch	eng-30-00109660-v	'undergo a change; become different in essence; losing one''s or its original nature'					
verluieren	r_v-9129	odwn-10-104344400-v	v	luierend besteden;spend lounging	eng-30-02268351-v	spend thoughtlessly; throw away					
cadet	r_n-8955	odwn-10-107435849-n	n	leerling-officier;trainee officer	eng-30-10665698-n	a learner who is enrolled in an educational institution					
galopperen	r_v-2864	odwn-10-100103007-v	v	in galop (paard)rijden;canter horse riding	eng-30-00124442-v	go or proceed from one point to another					
bankroof	r_n-5943	odwn-10-101348964-n	n	het beroven v.e. bank;robbing of a bank	eng-30-00976953-n	a sudden short attack					
vacuümverpakking	r_n-39419	odwn-10-107714686-n	n	verpakking in luchtdicht omhulsel	eng-30-14976448-n	any material used especially to protect something					
berekening	r_n-6698	odwn-10-108084897-n	n	cijfers van berekening;numbers of calculation	eng-30-06468951-n	a sketchy summary of the main points of an argument or theory					
oprekken	r_v-5724	odwn-10-107083123-v	v	verwijden;widen	eng-30-01448100-v	cause to move by pulling					
trimfiets	r_n-38499	odwn-10-102756104-n	n	fiets voor conditietraining;bike for fitness	eng-30-02834778-n	a wheeled vehicle that has two wheels and is moved by foot pedals					
wegmarkering	r_n-42754	odwn-10-105965858-n	n	bebakening van weggedeelten;beaconing of sections	eng-30-00263642-n	the act of making a visible mark on a surface					
scheeftrekken	r_v-6980	odwn-10-107633229-v	v	kromtrekken;warping	eng-30-01448100-v	cause to move by pulling					
kreukelzone	r_n-20769	odwn-10-101428413-n	n	gedeelte auto die botsing moet opvangen;part car to absorb collision	eng-30-00178551-n	something contrived to meet an urgent need or emergency					
verfilming	r_n-40020	odwn-10-104408936-n	n	film gemaakt v.e. boek	eng-30-07139873-n	the communication (in speech or writing) of your beliefs or opinions					
industriebeleid	r_n-17822	odwn-10-103446928-n	n	politiek beleid t.a.v. de industrie	eng-30-01124794-n	the act of governing; exercising authority					
roker	r_n-31910	odwn-10-106843766-n	n	iemand die rookt;someone who smokes	eng-30-00007846-n	a human being					
vlonder	r_n-41198	odwn-10-106755236-n	n	losse brug van hout;loose bridge of wood	eng-30-03933529-n	a platform built out from the shore into the water and supported by piles; provides access to ships and boats					
sponsoring	r_n-35124	odwn-10-100588983-n	n	het sponsoren	eng-30-01120448-n	the act of paying money					
weerslag	r_n-42681	odwn-10-104198655-n	n	(vervelende) gevolgen;unpleasant consequences	eng-30-11410625-n	a phenomenon that follows and is caused by some previous phenomenon					
stervensbegeleiding	r_n-35815	odwn-10-108776717-n	n	begeleiding van stervenden	eng-30-01207609-n	the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose					
kroep	r_n-20841	odwn-10-104615160-n	n	ontsteking aan het strottenhoofd;inflammation of the larynx	eng-30-00863513-n	an automatic instinctive unlearned reaction to a stimulus					
probleemkind	r_n-29714	odwn-10-109903328-n	n	kind met problemen;problem child	eng-30-09917593-n	a young person of either sex					
vader	r_n-39425	odwn-10-104945327-n	n	** beschermend, oud en/of wijs iemand	eng-30-00007846-n	a human being					
avonddienst	r_n-4269	odwn-10-102000908-n	n	'werkperiode ''s avonds;shift evening'	eng-30-01129920-n	the social force that binds you to the courses of action demanded by that force; every opportunity, an obligation; every possession, a duty"- John D.Rockefeller Jr					
episcopaat	r_n-12505	odwn-10-103049565-n	n	bisschopsambt	eng-30-00582388-n	the principal activity in your life that you do to earn money					
verworden	r_v-9515	odwn-10-109159782-v	v	achteruitgaan;recede	eng-30-02528380-v	be unsuccessful					
twintiger	r_n-38873	odwn-10-103976082-n	n	iemand tussen de twintig en dertig jaar;someone between twenty and thirty years	eng-30-00007846-n	a human being					
poet	r_n-28984	odwn-10-109631652-n	n	dat wat je buitmaakt;what makes your booty	eng-30-13258362-n	the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)					
regeringscommissie	r_n-31039	odwn-10-107636584-n	n	door regering benoemde commissie;by government-appointed commission	eng-30-08324514-n	a special group delegated to consider some matter					
nadering	r_n-24563	odwn-10-108546394-n	n	het bijna bereiken van iets;almost achieving something	eng-30-00048374-n	the act of arriving at a certain place					
stuivertje-wisselen	r_v-7643	odwn-10-105381418-v	v	van plaats verwisselen;trade places	eng-30-01072949-v	participate in games or sport					
relict	r_n-31281	odwn-10-103621964-n	n	figuurlijke nalatenschap;dat wat over is na gebruik of tijd;overblijfsel uit vroeger tijden;figurative legacy;relic of earlier times;what is left after use or time	eng-30-13262913-n	that which is inherited; a title or property or estate that passes by law to the heir on the death of the owner					
terreinverkenning	r_n-37425	odwn-10-103363250-n	n	onderzoek v.e. onderwerp;research of a topic	eng-30-00636921-n	systematic investigation to establish facts					
opvrijen	r_v-5878	odwn-10-106672834-v	v	gunstig stemmen;propitiate	eng-30-02570267-v	treat with excessive indulgence					
hypotheekrente	r_n-17517	odwn-10-101604646-n	n	rente over een hypotheek;Interest on a mortgage	eng-30-13331198-n	a quantity of money					
torenklok	r_n-38131	odwn-10-100180680-n	n	uurwerk in een toren;clock in a tower	eng-30-03046257-n	a timepiece that shows the time of day					
schaar	r_n-32678	odwn-10-107280982-n	n	voorwerp om iets vast te zetten;object to secure something	eng-30-04507453-n	framework that serves as a support for the body of a vehicle					
tintelen	r_v-7932	odwn-10-101202025-v	v	een prikkend gevoel geven;give a stinging	eng-30-02122983-v	cause a stinging or tingling sensation					
uitkristalliseren	r_v-8362	odwn-10-108110625-v	v	vaste vorm krijgen;mbt. kristallen;respect crystal;take shape	eng-30-00443670-v	assume crystalline form; become crystallized					
afzakken	r_v-935	odwn-10-105578244-v	v	trekken naar lagere oorden;migrate to lower places	eng-30-01843689-v	go to certain places as for sightseeing					
piekeren	r_v-6243	odwn-10-109819931-v	v	nadenken;think	eng-30-00630380-v	reflect deeply on a subject					
dwangsom	r_n-11867	odwn-10-101080257-n	n	boete voor niet nakomen van verplichting	eng-30-01160342-n	the act of punishing					
pluimveehouderij	r_n-28912	odwn-10-100066980-n	n	bedrijf met pluimvee;company with poultry	eng-30-04052442-n	farm consisting of a large tract of land along with facilities needed to raise livestock (especially cattle)					
documentatiecentrum	r_n-11143	odwn-10-108700104-n	n	opslagplaats voor documentatiemateriaal;repository for documentation	eng-30-08053576-n	an organization founded and united for a specific purpose					
isolatie	r_n-18301	odwn-10-100387648-n	n	het beschermen tegen kou/geluid;to protect against cold or sound	eng-30-01074694-n	the act of blocking					
waterleidingbedrijf	r_n-42473	odwn-10-102688132-n	n	dienstverlenend bedrijf voor drinkwater;service company for drinking water	eng-30-08185758-n	a company that performs a public service; subject to government regulation					
zitvlak	r_n-44229	odwn-10-102037467-n	n	deel v.e. zitmeubel waarop je zit;part of a seating where you sit	eng-30-05559256-n	the fleshy part of the human body that you sit on					
erelid	r_n-12544	odwn-10-104548877-n	n	door bijzondere verdiensten benoemd lid	eng-30-10307234-n	one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)					
notenkaas	r_n-25333	odwn-10-101797840-n	n	kaas met noten;cheese with nuts	eng-30-07850329-n	a solid food prepared from the pressed curd of milk					
tussendeur	r_n-38761	odwn-10-106794688-n	n	deur tussen twee kamers;door between two rooms	eng-30-03221720-n	a swinging or sliding barrier that will close the entrance to a room or building or vehicle					
lasershow	r_n-21462	odwn-10-105589691-n	n	show met laserstralen;show with laser beams	eng-30-00520257-n	the act of publicly exhibiting or entertaining					
ooghoogte	r_n-26372	odwn-10-103022443-n	n	hoogte v.h. oog t.o.v. de grond	eng-30-05002352-n	(of a standing person) the distance from head to foot					
afreizen	r_v-665	odwn-10-105673899-v	v	geheel doorreizen;whole travel	eng-30-01835496-v	change location; move, travel, or proceed, also metaphorically					
fluweel	r_n-13432	odwn-10-103307107-n	n	zacht oppervlak van iets	eng-30-03309808-n	artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers					
huiveren	r_v-3287	odwn-10-109098781-v	v	rillen;shiver	eng-30-00014034-v	move with or as if with a tremor					
neteldoek	r_n-24899	odwn-10-109663938-n	n	soort stof;type of fabric	eng-30-03115180-n	fabric woven from cotton fibers					
begripsverwarring	r_n-6331	odwn-10-102924483-n	n	verwarring over begrippen;confusion about concepts	eng-30-04823416-n	the quality of being unclear or abstruse and hard to understand					
puntschoen	r_n-30142	odwn-10-104870064-n	n	schoen met spitse neus;shoe with pointed toe	eng-30-04199027-n	footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material					
grasbaan	r_n-15643	odwn-10-106845047-n	n	baan met gras begroeid;track overgrown with grass	eng-30-03119790-n	facility consisting of a circumscribed area of land or water laid out for a sport					
wasmachine	r_n-42396	odwn-10-103088152-n	n	apparaat dat automatisch de was doet;device that automatically does the laundry	eng-30-03183080-n	an instrumentality invented for a particular purpose					
captain	r_n-9059	odwn-10-104625422-n	n	aanvoerder v.e. sportploeg;captain of a sports team	eng-30-09623038-n	a person who rules or guides or inspires others					
x-as	r_n-43660	odwn-10-106685423-n	n	één v.d. assen in wiskundig assenstelsel;one of the axes mathematical coordinate system	eng-30-08593262-n	a spatial location defined by a real or imaginary unidimensional extent					
bewijsstuk	r_n-7119	odwn-10-102496668-n	n	voorwerp als bewijs;object as evidence	eng-30-06284225-n;eng-30-00002684-n;eng-30-04424218-n	one of the natural units into which linguistic messages can be analyzed					
pinksterdag	r_n-28588	odwn-10-109761336-n	n	zondag van Pinksteren;Sunday of Pentecost	eng-30-15162388-n	a day or period of time set aside for feasting and celebration					
seksist	r_n-33526	odwn-10-109208446-n	n	seksistisch persoon;sexist person	eng-30-00007846-n	a human being					
vergrijzing	r_n-40078	odwn-10-101694255-n	n	stijging v.d. gemiddelde leeftijd;increase of the mean age	eng-30-13497135-n	a process of becoming larger or longer or more numerous or more important					
ouwehoer	r_n-27023	odwn-10-105324065-n	n	iemand die veel kletst;someone much chatting	eng-30-10630188-n	someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous)					
kabelkrant	r_n-18741	odwn-10-108074545-n	n	nieuws via de kabeltelevisie	eng-30-06619428-n	a radio or television show					
buste	r_n-8897	odwn-10-104031588-n	n	borstbeeld	eng-30-04306847-n	a sculpture representing a human or animal					
oudejaar	r_n-26969	odwn-10-102806843-n	n		eng-30-15154774-n	a unit for measuring time periods					
Oezbeek	r_n-25553	odwn-10-109306055-n	n	inwoner Oezbekistan;resident Uzbekistan	eng-30-09625401-n	a person who owes allegiance to that nation					
aperitief	r_n-3719	odwn-10-106368777-n	n	drankje vooraf;drink beforehand	eng-30-07885223-n	a single serving of a beverage					
terminologie	r_n-37411	odwn-10-100611865-n	n	woordenschat v.e. vakgebied	eng-30-06252138-n	the activity of communicating; the activity of conveying information					
sublimatie	r_n-36519	odwn-10-102312698-n	n	het opheffen/veredelen;raising or breeding	eng-30-00279835-n	the act of changing location from one place to another					
mompelen	r_v-4768	odwn-10-101378688-v	v	binnensmonds praten;heartedly talk	eng-30-00943837-v	give expression to					
tramrail	r_n-38268	odwn-10-104773606-n	n	richel waarover de tram rijdt	eng-30-04100174-n	a long thin implement made of metal or wood					
ademhalen	r_v-417	odwn-10-108698123-v	v	ademen;breathe	eng-30-01511706-v	cause to move forward with force					
spiegelen	r_v-7366	odwn-10-106799086-v	v	weerkaatsen;reverberate	eng-30-01378556-v	distribute or disperse widely					
poolkap	r_n-29186	odwn-10-102666283-n	n	ijskap over de noord-/zuidpool;ice cap on the North or South Pole	eng-30-08573258-n	'the part of the Earth''s surface forming a cap over a pole; characterized by frigid climate'					
parachutesprong	r_n-27585	odwn-10-102966487-n	n	sprong met parachute;with parachute jump	eng-30-00119568-n	the act of jumping; propelling yourself off the ground					
wiskundige	r_n-43385	odwn-10-102236725-n	n	specialist in de wiskunde;specialist in mathematics	eng-30-09617867-n	a person with special knowledge or ability who performs skillfully					
proletariër	r_n-29896	odwn-10-104883490-n	n	iemand zonder bezit;someone without possession	eng-30-10241300-n	someone who works with their hands; someone engaged in manual labor					
Hemelvaart	r_n-16626	odwn-10-101186978-n	n	feestdag v.h. ten hemel stijgen;holiday v.h heaven rise	eng-30-07450651-n	a joyful occasion for special festivities to mark some happy event					
intrigant	r_n-18173	odwn-10-104380646-n	n	iemand die mensen tegen elkaar opzet;someone people against each other	eng-30-10731244-n	someone who deliberately stirs up trouble					
scholastiek	r_n-33101	odwn-10-106843605-n	n	kloosterling	eng-30-05943300-n	a belief (or system of beliefs) accepted as authoritative by some group or school					
desperado	r_n-10738	odwn-10-108857225-n	n	roekeloos persoon;reckless person	eng-30-09837088-n	an armed thief who is (usually) a member of a band					
menu	r_n-23624	odwn-10-108212145-n	n	alle gerechten v.d. maaltijd;all dishes of the meal	eng-30-06492664-n	a detailed list of all the items in stock					
Antwerpenaar	r_n-3688	odwn-10-105365209-n	n	inwoner Antwerpen;resident Antwerp	eng-30-09620078-n	a person who inhabits a particular place					
doorborduren	r_v-2330	odwn-10-102671171-v	v	doorpraten of -redeneren;by talking or -redeneren	eng-30-00943837-v;eng-30-02679899-v	give expression to					
karakteriseren	r_v-3800	odwn-10-101808426-v	v	typeren;typify	eng-30-02137132-v	make visible or noticeable					
binnenmuur	r_n-7378	odwn-10-104896606-n	n	muur in gebouw;wall building	eng-30-03894379-n	a vertical structure that divides or separates (as a wall divides one room from another)					
kopra	r_n-20517	odwn-10-102292865-n	n	gedroogd vruchtvlees v.e. kokosnoot;dried pulp of a coconut	eng-30-13096035-n	a soft moist part of a fruit					
niemandsland	r_n-24980	odwn-10-108078980-n	n	gebied dat van niemand is;area that is of no	eng-30-08497294-n	a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)					
multiplex	r_n-24399	odwn-10-100590059-n	n	bepaald plaatmateriaal;determined sheet	eng-30-15098161-n	the hard fibrous lignified substance under the bark of trees					
gevechtsvliegtuig	r_n-14930	odwn-10-107851910-n	n	militair vliegtuig;military aircraft	eng-30-02691156-n	an aircraft that has a fixed wing and is powered by propellers or jets					
kieskauwen	r_v-3855	odwn-10-105561969-v	v	met tegenzin eten;reluctantly eat	eng-30-01166351-v	eat a meal; take a meal					
afvoerpijp	r_n-3048	odwn-10-107152493-n	n	pijp voor waterafvoer;pipe for drainage	eng-30-03944672-n	a long tube made of metal or plastic that is used to carry water or oil or gas etc.					
afstralen	r_v-821	odwn-10-107270342-v	v	straling afgeven;radiation release	eng-30-01378556-v	distribute or disperse widely					
Ram	r_n-30438	odwn-10-100568410-n	n	één v.d. twaalf sterrenbeelden;one of the Twelve Constellations	eng-30-09252970-n	a configuration of stars as seen from the earth					
mossel	r_n-24308	odwn-10-109218029-n	n	bepaald schelpdier;determined shellfish	eng-30-01940736-n	invertebrate having a soft unsegmented body usually enclosed in a shell					
prijsuitreiking	r_n-29616	odwn-10-106934771-n	n	overhandiging van prijzen aan winnaars;presentation of prizes to winners	eng-30-01229938-n	the social act of assembling					
strafport	r_n-36175	odwn-10-107150447-n	n	geld te betalen voor ontvangst poststuk;to pay money to receive postal	eng-30-01160342-n	the act of punishing					
